eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2.01E+11,2011,5,7,,1,5/11/2011,45,Colombia,3,South America,Cauca,Buenos Aires,3.018782,-76.643934,1,1,"The kidnapping took place in the village of La Vuelta in Buenos, Aires, Cauca, Colombia.","05/07/2011: On Saturday, in the village of La Vuelta in Buenos Aires, Cauca, Colombia, suspected militants from the 30th Front of the Revolutionary Armed Forces of Colombia (FARC) took hostage five civilians who were members of a local community counsel; identified as Jos Elder Viveros Delgado, Gueimar Alexis Viveros Delgado, Jos Eimer Viveros Delgado, Jaime Viveros Delgado, and Rmulo Viveros. The hostages were later killed on 05/11/2011. No group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),2,Armed Assault,,,14,Private Citizens & Property,77,Laborer (General)/Occupation Identified,,Five members of a local community council,45,Colombia,,,,,,,,,,,,,,,,,Revolutionary Armed Forces of Colombia (FARC),Frente 30,,,,,The specific motive for the attack is unknown.,1,,,-99,0,0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,Unknown weapons were used in the attack.,5,0,0,0,0,0,0,,,,,1,5,0,,5,,,,,,,,,4,Hostage(s) killed (not during rescue attempt),0,The summary of this incident was partially based on an article originally written in Spanish.,"Denver Post, ""Massacre of Five Afro-Colombians Investigated,"" Associated Press, May 11, 2011, http://www.denverpost.com/vivacolorado/ci_18041973.","Guo, ""Five Colombians Killed by Suspected FARC Rebels,"" Xinhua News Agency May 12, 2011, http://english.cri.cn/6966/2011/05/12/2743s636972.htm.","Colombia Reports, Adriaan Alsema, ""FARC Massacre Five in Southwest Colombia,"" http://colombiareports.com/colombia-news/news/16166-farc-massacred-5-in-southwest-colombia.html (May 11, 2011).",ISVG,0,0,0,0,
,2016,7,26,,,,69,France,8,Western Europe,,Saint-Étienne-du-Rouvray,,,,,,,,,,,,,0,,0,2,,,,,,,,85,,,,69,France,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,3,,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,7,24,,,,75,Germany,8,Western Europe,,Ansbach,,,,,,,,,,,,,0,,1,3,,,,,,,,2,,,,75,Germany,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,0,,1,15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,7,18,,,,75,Germany,8,Western Europe,,Würzburg,,,,,,,,,,,,,0,,0,2,,,,,,,,73,,,,89,Hong Kong,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,0,,1,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,7,14,,,,69,France,8,Western Europe,,Nice,,,,,,,,,,,,,0,,0,2,,,,,,,,75,,,,69,France,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,85,,1,308,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,6,13,,,,69,France,8,Western Europe,,Magnanville,,,,,,,,,,,,,0,,0,2,,,,,,,,76,,,,69,France,,,,,,,,,,,,,,,,,Individual,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,3,22,,,,75,Germany,8,Western Europe,,Brussels,,,,,,,,,,,,,1,,1,3,,,,,,,,44,,,,75,Germany,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,35,,3,330,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,11,15,,,,69,France,8,Western Europe,,Paris,,,,,,,,,,,,,1,,1,3,,,,,,,,75,,,,69,France,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,130,,7,368,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,1,7,,,,69,France,8,Western Europe,,Paris,,,,,,,,,,,,,0,,0,2,,,,,,,,53,,,,69,France,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,12,,0,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,4,16,,,,75,Germany,8,Western Europe,,Essen,,,,,,,,,,,,,0,,0,2,,,,,,,,86,,,,69,Germany,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,0,,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,1,7,,,,69,France,8,Western Europe,,Paris,,,,,,,,,,,,,0,,0,2,,,,,,,,25,,,,69,France,,,,,,,,,,,,,,,,,Individual,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,12,5,,,,603,United Kingdom,8,Western Europe,,London,,,,,,,,,,,,,0,,0,2,,,,,,,,67,,,,608,United Kingdom,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,0,,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,9,17,,,,75,Germany,8,Western Europe,,Berlin,,,,,,,,,,,,,0,,0,1,,,,,,,,25,,,,75,Germany,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,8,21,,,,69,France,8,Western Europe,,Pas-De-Calais,,,,,,,,,,,,,0,,0,2,,,,,,,,100,,,,69,France,,,,,,,,,,,,,,,,,Individual,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,0,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2,14,,,,55,Denmark,8,Western Europe,,Copenhagen,,,,,,,,,,,,,1,,0,2,,,,,,,,81,,,,55,Denmark,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,1,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,24,,,,4,Afghanistan,6,South Asia,,Kabul,Kabul,,,,,,,,,,,,0,,0,2,,,,,,,,49,,,,4,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,12,,0,30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,24,,,,14,Australia,12,Australasia & Oceania,,Home Hill,,,,,,,,,,,,,0,,0,2,,,,,,,,67,,,,603,United Kingdom,,,,,,,,,,,,,,,,,Individual,,,,,,,0,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,1,,0,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,23,,,,603,United Kingdom,8,Western Europe,,Rochdale,,,,,,,,,,,,,0,,0,2,,,,,,,,85,,,,19,Bangladesh,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,21,,,,37,Cameroon,11,Sub-Saharan Africa,,Mora,,,,,,,,,,,,,0,,1,3,,,,,,,,74,,,,37,Cameroon,,,,,,,,,,,,,,,,,Boko Haram,,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,4,,1,24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,20,,,,147,Nigeria,11,Sub-Saharan Africa,,Kuruburu,,,,,,,,,,,,,0,,0,6,,,,,,,,75,,,,147,Nigeria,,,,,,,,,,,,,,,,,Boko Haram,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,0,24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,19,,,,167,Russia,9,Eastern Europe,,St Petersburg,,,,,,,,,,,,,0,,0,2,,,,,,,,76,,,,167,Russia,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,2,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,18,,,,209,Turkey,10,Middle East & North Africa,,Elazig,,,,,,,,,,,,,0,,0,3,,,,,,,,22,,,,209,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,1,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,3,,0,217,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,7,26,,,,69,France,8,Western Europe,, Saint-Étienne-du-Rouvray,,,,,,,,,,,,,0,,0,2,,,,,,,,85,,,,69,France,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,3,,2,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,11,15,,,,69,France,8,Western Europe,,Paris,,,,,,,,,,,,,1,,0,2,,,,,,,,11,,,,69,France,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,130,,7,368,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,8,20,,,,209,Turkey,10,Middle East & North Africa,,Gaziantep,,,,,,,,,,,,,0,,1,3,,,,,,,,78,,,,209,Turkey,,,,,,,,,,,,,,,,,?,,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,54,,1,66,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
